Age,Tm,Opp,FG%,3P%,TRB,BLK,PTS,win_flag,total
20,03_10CLE,MIA,0.478,0.333,2,0,31,0,1
20,03_10CLE,ORL,0.429,0,6,0,30,1,1
20,03_10CLE,TOR,0.429,0,8,0,15,1,1
20,03_10CLE,DEN,0.414,0.167,6,0,35,0,1
20,03_10CLE,ATL,0.55,1,5,0,28,1,1
20,03_10CLE,MIN,0.526,0.5,7,0,26,0,1
20,03_10CLE,CHI,0.471,1,6,0,27,1,1
20,03_10CLE,IND,0.36,0,7,1,21,0,1
20,03_10CLE,NJN,0.45,0.5,4,0,28,0,1
20,03_10CLE,SAS,0.273,0.25,8,0,20,0,1
20,03_10CLE,SEA,0.55,0.714,5,0,32,0,1
20,03_10CLE,PHI,0.571,0,7,0,34,0,1
20,03_10CLE,MIA,0.474,0,4,0,23,0,1
20,03_10CLE,ORL,0.409,0.333,7,1,23,1,1
20,03_10CLE,IND,0.522,0.2,5,0,35,1,1
20,03_10CLE,UTA,0.733,0.4,9,1,36,1,1
20,03_10CLE,MIL,0.5,0.444,7,0,34,0,1
20,03_10CLE,PHI,0.15,0,8,0,16,0,1
20,03_10CLE,TOR,0.5,0.5,10,0,56,0,1
20,03_10CLE,DET,0.458,0.286,6,0,29,1,1
20,03_10CLE,HOU,0.318,0.25,4,0,19,0,1
20,03_10CLE,DAL,0.412,0,4,0,19,0,1
20,03_10CLE,NOH,0.552,0.3,6,0,44,1,1
20,03_10CLE,LAC,0.35,0.25,7,1,22,1,1
20,03_10CLE,CHI,0.357,0.25,6,2,26,0,1
20,03_10CLE,SAC,0.619,0.5,8,0,35,0,1
20,03_10CLE,DAL,0.435,0.5,10,1,37,1,1
20,03_10CLE,NJN,0.474,0.5,9,2,24,0,1
20,03_10CLE,IND,0.5,0,4,0,20,0,1
20,03_10CLE,PHI,0.4,0.333,13,0,37,0,1
20,03_10CLE,MIL,0.577,0.538,10,1,40,1,1
20,03_10CLE,ORL,0.522,0.167,7,1,33,1,1
20,03_10CLE,NYK,0.28,0.308,18,2,27,0,1
20,03_10CLE,WAS,0.485,0.167,6,0,38,0,1
20,03_10CLE,DET,0.343,0.286,11,1,37,0,1
20,03_10CLE,BOS,0.481,0.667,8,0,32,1,1
20,03_10CLE,TOR,0.435,0.25,14,1,27,1,1
21,03_10CLE,WAS,0.444,0.25,11,0,32,1,1
21,03_10CLE,WAS,0.28,0.167,9,3,26,0,1
21,03_10CLE,WAS,0.571,0.6,5,0,41,1,1
21,03_10CLE,WAS,0.565,0.583,6,0,38,0,1
21,03_10CLE,WAS,0.609,0,7,0,45,1,1
21,03_10CLE,WAS,0.6,0.167,7,1,32,1,1
21,03_10CLE,DET,0.5,0.4,4,0,22,0,1
21,03_10CLE,DET,0.478,0.4,14,0,30,0,1
21,03_10CLE,DET,0.5,0.25,10,1,21,1,1
21,03_10CLE,DET,0.348,0.5,8,2,22,1,1
21,03_10CLE,DET,0.433,0.25,5,1,32,1,1
21,03_10CLE,DET,0.4,0.2,11,1,32,0,1
21,03_10CLE,DET,0.458,0,8,0,27,0,1
20,03_10CLE,NOK,0.563,0.857,3,0,31,1,1
20,03_10CLE,SAS,0.438,0,6,1,20,0,1
20,03_10CLE,MEM,0.483,0.444,2,0,36,0,1
20,03_10CLE,TOR,0.529,0,3,2,27,1,1
20,03_10CLE,SEA,0.556,0,5,1,31,1,1
20,03_10CLE,MEM,0.455,0,6,1,16,1,1
20,03_10CLE,ORL,0.45,0.25,5,1,26,1,1
20,03_10CLE,WAS,0.652,0.667,10,2,37,1,1
20,03_10CLE,ORL,0.353,0,6,0,16,1,1
20,03_10CLE,PHI,0.583,0,11,1,36,1,1
20,03_10CLE,BOS,0.65,0.333,5,2,36,1,1
20,03_10CLE,IND,0.3,0,10,1,19,0,1
20,03_10CLE,MIN,0.448,0.545,5,0,38,0,1
20,03_10CLE,LAC,0.35,0,7,1,28,1,1
20,03_10CLE,SEA,0.519,0,3,3,34,0,1
20,03_10CLE,LAC,0.32,0.6,5,1,30,0,1
20,03_10CLE,SAC,0.435,0.2,6,3,30,1,1
20,03_10CLE,NJN,0.423,0,6,1,32,0,1
20,03_10CLE,MIL,0.655,0.556,7,0,52,0,1
20,03_10CLE,ATL,0.565,0.5,10,0,39,0,1
20,03_10CLE,DEN,0.611,0.25,4,0,26,1,1
20,03_10CLE,MIA,0.632,0.5,5,0,41,1,1
20,03_10CLE,UTA,0.667,1,6,2,25,1,1
20,03_10CLE,CHI,0.48,0.667,5,0,37,1,1
20,03_10CLE,IND,0.25,0,8,0,14,1,1
20,03_10CLE,CHI,0.48,0,8,2,32,1,1
20,03_10CLE,NJN,0.571,0.2,10,0,31,0,1
21,03_10CLE,DET,0.5,0.4,7,1,30,1,1
21,03_10CLE,MIL,0.414,0.25,11,1,32,1,1
21,03_10CLE,HOU,0.684,0.429,9,0,32,0,1
21,03_10CLE,MIL,0.636,0.429,7,1,35,1,1
21,03_10CLE,NYK,0.452,0,7,1,36,0,1
21,03_10CLE,LAL,0.5,0.667,2,0,28,0,1
21,03_10CLE,PHO,0.643,0.625,7,0,46,0,1
21,03_10CLE,POR,0.385,0.2,13,3,29,0,1
21,03_10CLE,DEN,0.35,0.333,11,0,24,0,1
21,03_10CLE,GSW,0.227,0,9,0,14,0,1
21,03_10CLE,UTA,0.543,0.5,5,0,51,1,1
21,03_10CLE,IND,0.333,0.4,7,2,23,1,1
21,03_10CLE,ATL,0.5,0.2,9,1,38,1,1
21,03_10CLE,IND,0.522,0.5,7,1,30,1,1
