SHOT_ZONE_BASIC,AGE,LOC_X,LOC_Y,SHOT_ACCURACY,SHOT_ACCURACY_LAB
Mid-Range,37,-6.7745098039215685,98.58823529411765,0.35294117647058826,35.3%
Restricted Area,18,-0.6979166666666666,3.1822916666666665,0.5833333333333334,58.3%
Restricted Area,19,-1.0654761904761905,2.6686507936507935,0.628968253968254,62.9%
Restricted Area,20,0.06312292358803986,2.3056478405315612,0.6976744186046512,69.8%
Restricted Area,21,-1.424886191198786,1.4749620637329286,0.6752655538694993,67.5%
Restricted Area,22,1.517667844522968,2.441696113074205,0.7084805653710248,70.8%
Restricted Area,23,-0.15838509316770186,1.8618012422360248,0.718944099378882,71.9%
Restricted Area,24,-0.27256637168141595,3.286725663716814,0.7185840707964601,71.9%
Restricted Area,25,0.6369426751592356,7.5774946921443735,0.7409766454352441,74.1%
Restricted Area,26,1.1448863636363635,11.201704545454545,0.7329545454545454,73.3%
Restricted Area,27,0.36678200692041524,8.717993079584774,0.7439446366782007,74.4%
Restricted Area,28,1.6303571428571428,7.7196428571428575,0.7767857142857143,77.7%
Restricted Area,29,1.5142348754448398,7.314946619217082,0.7313167259786477,73.1%
Restricted Area,30,-2.5898876404494384,5.430711610486892,0.702247191011236,70.2%
Restricted Area,31,-2.5251215559157214,4.139384116693679,0.7228525121555915,72.3%
Restricted Area,32,0.20084269662921347,7.081460674157303,0.7724719101123596,77.2%
Restricted Area,33,1.1835260115606936,11.030346820809248,0.7239884393063584,72.4%
Restricted Area,34,-0.42070484581497797,13.079295154185022,0.6872246696035242,68.7%
Restricted Area,35,1.1898734177215189,12.844936708860759,0.7056962025316456,70.6%
Restricted Area,36,0.053738317757009345,12.369158878504672,0.7616822429906542,76.2%
Restricted Area,37,0.5897435897435898,13.935897435897436,0.75,75%
Right Corner 3,18,231.53333333333333,18.866666666666667,0.4,40%
Right Corner 3,19,231.53571428571428,8.75,0.32142857142857145,32.1%
Right Corner 3,20,230.65116279069767,1.558139534883721,0.4186046511627907,41.9%
Right Corner 3,21,232,7.333333333333333,0.28205128205128205,28.2%
Right Corner 3,22,232,24.294117647058822,0.35294117647058826,35.3%
Right Corner 3,23,229.04545454545453,28.545454545454547,0.2727272727272727,27.3%
Right Corner 3,24,230.71428571428572,18.714285714285715,0.42857142857142855,42.9%
Right Corner 3,25,233.56521739130434,23.869565217391305,0.34782608695652173,34.8%
Right Corner 3,26,236.07692307692307,16.307692307692307,0.15384615384615385,15.4%
Right Corner 3,27,233,20.5,0.4230769230769231,42.3%
Right Corner 3,28,233.57142857142858,23.5,0.5,50%
Right Corner 3,29,233.77272727272728,21.09090909090909,0.5,50%
Right Corner 3,30,229.04545454545453,16.954545454545453,0.36363636363636365,36.4%
Right Corner 3,31,233.85714285714286,19.38095238095238,0.2857142857142857,28.6%
Right Corner 3,32,229.75,18.916666666666668,0.3333333333333333,33.3%
Right Corner 3,33,229.88888888888889,41.22222222222222,0.3888888888888889,38.9%
Right Corner 3,34,232.73333333333332,35.266666666666666,0.3333333333333333,33.3%
Right Corner 3,35,228.72727272727272,25.181818181818183,0.5454545454545454,54.5%
Right Corner 3,36,229.83333333333334,27.583333333333332,0.16666666666666666,16.7%
Right Corner 3,37,229.8125,32.375,0.25,25%
