Date,Age,Tm,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2009-11-06,24-311,03_10CLE,NYK,W (+9),1,35:37,12,17,0.706,2,4,0.500,7,9,0.778,0,8,8,9,3,0,7,3,33,28.6,8
2009-11-11,24-316,03_10CLE,ORL,W (+9),1,39:07,13,23,0.565,2,3,0.667,8,9,0.889,2,6,8,4,1,0,4,2,36,26.9,7
2009-11-12,24-317,03_10CLE,MIA,W (+7),1,38:53,8,20,0.400,2,4,0.500,16,18,0.889,1,3,4,7,2,1,2,2,34,28.8,6
2009-11-14,24-319,03_10CLE,UTA,W (+4),1,37:33,6,15,0.400,0,3,0.000,9,12,0.750,0,6,6,9,2,1,2,1,21,20.1,6
2009-11-17,24-322,03_10CLE,GSW,W (+6),1,38:32,11,19,0.579,1,5,0.200,8,10,0.800,0,5,5,12,1,2,2,2,31,30.8,8
2009-11-18,24-323,03_10CLE,WAS,L (-17),1,35:08,12,20,0.600,3,7,0.429,7,8,0.875,0,2,2,9,2,0,6,4,34,25.7,-12
2009-11-20,24-325,03_10CLE,IND,W (+10),1,37:53,13,25,0.520,1,3,0.333,13,14,0.929,2,7,9,7,1,1,2,1,40,35.0,4
2009-11-21,24-326,03_10CLE,PHI,W (+6),1,38:32,13,20,0.650,2,4,0.500,4,6,0.667,0,7,7,9,0,0,5,3,32,24.6,11
2009-11-25,24-330,03_10CLE,DET,W (+10),1,38:49,12,24,0.500,1,4,0.250,9,11,0.818,1,7,8,7,1,0,5,2,34,24.1,12
2009-11-27,24-332,03_10CLE,CHA,L (-7),1,38:01,10,19,0.526,2,7,0.286,3,4,0.750,0,6,6,4,0,0,6,4,25,12.3,3
2009-11-28,24-333,03_10CLE,DAL,W (+16),1,36:21,10,20,0.500,0,2,0.000,5,7,0.714,0,5,5,12,0,0,1,2,25,22.3,8
2009-12-04,24-339,03_10CLE,CHI,W (+14),1,34:12,8,17,0.471,1,3,0.333,6,10,0.600,0,6,6,11,0,0,1,1,23,20.8,19
2009-12-08,24-343,03_10CLE,MEM,L (-2),1,44:47,14,29,0.483,4,11,0.364,11,12,0.917,4,9,13,6,0,1,5,2,43,32.5,6
2009-12-09,24-344,03_10CLE,HOU,L (-10),1,39:40,8,21,0.381,2,4,0.500,9,10,0.900,1,5,6,7,1,1,5,2,27,18.1,-13
2009-12-11,24-346,03_10CLE,POR,W (+5),1,37:36,14,24,0.583,1,2,0.500,4,6,0.667,1,6,7,7,1,2,4,1,33,26.4,8
2009-12-13,24-348,03_10CLE,OKC,W (+13),1,38:35,16,29,0.552,5,8,0.625,7,10,0.700,0,7,7,6,4,1,1,1,44,38.5,13
2009-12-15,24-350,03_10CLE,NJN,W (+10),1,40:28,9,19,0.474,1,5,0.200,4,6,0.667,1,5,6,7,2,0,6,3,23,14.4,7
2009-12-16,24-351,03_10CLE,PHI,W (+7),1,40:17,12,26,0.462,3,6,0.500,9,11,0.818,1,5,6,7,3,1,3,2,36,28.8,10
2009-12-18,24-353,03_10CLE,MIL,W (+3),1,38:22,6,13,0.462,2,4,0.500,12,14,0.857,1,9,10,8,0,3,6,1,26,23.2,3
2009-12-20,24-355,03_10CLE,DAL,L (-7),1,43:05,9,23,0.391,2,6,0.333,5,7,0.714,0,3,3,6,2,2,2,3,25,17.0,-5
